Date,price,signal,position,market_return,strategy_return,position_change,commission_cost,strategy_return_after_cost,cumulative_market_return,cumulative_strategy_return,strategy_value
2022-05-23,110.95751190185548,0.0,0.0,0.02368967063603833,0.02368967063603833,1.0,0.001,0.022689670588540878,-0.14245944652240627,0.0502750222748094,10502.750222748095
2022-05-24,105.4657745361328,1.0,1.0,-0.0494940565230072,-0.0,1.0,0.001,-0.0010000000474974513,-0.18490260714699713,0.049224747202649244,10492.247472026493
2022-05-25,105.3015594482422,1.0,1.0,-0.0015570462419003395,-0.0015570462419003395,0.0,0.0,-0.0015570462419003395,-0.18617175147932163,0.04759105575310851,10475.910557531086
2022-05-26,107.27960205078124,-1.0,-1.0,0.018784551842380592,0.018784551842380592,2.0,0.002,0.01678455174738569,-0.1708843525541912,0.065174402038495,10651.74402038495
2022-05-27,111.7820816040039,1.0,1.0,0.041969577320872364,-0.041969577320872364,2.0,0.002,-0.04396957741586727,-0.1360867192807692,0.01833913370666318,10183.391337066632
2022-05-31,113.220703125,1.0,1.0,0.012869875926022845,0.012869875926022845,0.0,0.0,0.012869875926022845,-0.12496826254706939,0.031445032008081464,10314.450320080814
2022-06-01,113.3500747680664,1.0,1.0,0.001142650058651995,0.001142650058651995,0.0,0.0,0.001142650058651995,-0.1239684074809464,0.03262361273440173,10326.236127344016
2022-06-02,117.06282806396484,1.0,1.0,0.03275474942116596,0.03275474942116596,0.0,0.0,0.03275474942116596,-0.09527421218295984,0.06644694041589627,10664.469404158963
2022-06-03,113.9959945678711,1.0,1.0,-0.026198183888210713,-0.026198183888210713,0.0,0.0,-0.026198183888210713,-0.11897638474059702,0.03850796736386086,10385.07967363861
2022-06-06,116.2646484375,1.0,1.0,0.019901171775629223,0.019901171775629223,0.0,0.0,0.019901171775629223,-0.10144298243493377,0.0591754928127286,10591.754928127286
2022-06-07,116.59207916259766,0.0,0.0,0.002816253517281986,0.002816253517281986,1.0,0.001,0.0018162534697845345,-0.09891241807373774,0.061099223976660566,10610.992239766605
2022-06-08,116.63636779785156,1.0,1.0,0.0003798597260809,0.0,1.0,0.001,-0.0010000000474974513,-0.09857013119169233,0.06003812470228431,10600.381247022842
2022-06-09,114.28909301757812,1.0,1.0,-0.020124724599977384,-0.020124724599977384,0.0,0.0,-0.020124724599977384,-0.11671115904765328,0.0387051493771744,10387.051493771743
2022-06-10,110.632568359375,0.0,0.0,-0.031993644902236995,-0.031993644902236995,1.0,0.001,-0.032993644949734446,-0.14497078857119117,0.004434480471163127,10044.34480471163
2022-06-13,105.88626861572266,1.0,1.0,-0.04290146937775707,-0.0,1.0,0.001,-0.0010000000474974513,-0.181652798102392,0.003430045942983906,10034.300459429838
2022-06-14,106.2077178955078,0.0,0.0,0.0030357975966810447,0.0030357975966810447,1.0,0.001,0.0020357975491835933,-0.17916846163362055,0.005472826371291761,10054.728263712917
2022-06-15,109.24221801757812,1.0,1.0,0.028571371103706555,0.0,1.0,0.001,-0.0010000000474974513,-0.15571617913732838,0.004467353497163096,10044.673534971631
2022-06-16,105.52897644042967,-1.0,-1.0,-0.033990902459989925,-0.033990902459989925,2.0,0.002,-0.03599090255498483,-0.18441414814081902,-0.03168433314221675,9683.156668577833
2022-06-17,106.6336898803711,1.0,1.0,0.01046834222413806,-0.01046834222413806,2.0,0.002,-0.012468342319132963,-0.1758763163303919,-0.04375762434957908,9562.42375650421
2022-06-21,111.01325988769533,1.0,1.0,0.04107116627247476,0.04107116627247476,0.0,0.0,0.04107116627247476,-0.14202859548931301,-0.00448363474245439,9955.163652575457
2022-06-22,110.95701599121094,1.0,1.0,-0.0005066412475526194,-0.0005066412475526194,0.0,0.0,-0.0005066412475526194,-0.1424632791920588,-0.004988004395707568,9950.119956042925
2022-06-23,111.70792388916016,1.0,1.0,0.0067675567087051025,0.0067675567087051025,0.0,0.0,0.0067675567087051025,-0.13665985080419407,0.0017457957103863553,10017.457957103863
2022-06-24,117.41365051269533,-1.0,-1.0,0.0510771879459202,0.0510771879459202,2.0,0.002,0.0490771878509253,-0.09256286374246114,0.050908662305339636,10509.086623053396
2022-06-27,115.28234100341795,-1.0,-1.0,-0.01815214414994215,0.01815214414994215,0.0,0.0,0.01815214414994215,-0.10903479344681866,0.06998490783192901,10699.84907831929
2022-06-28,111.47454071044922,-1.0,-1.0,-0.03303021312566723,0.03303021312566723,0.0,0.0,0.03303021312566723,-0.13846356410682437,0.10532673737886511,11053.26737378865
2022-06-29,111.16999816894533,1.0,1.0,-0.002731947039772309,0.002731947039772309,2.0,0.002,0.0007319469447774063,-0.14081723602251872,0.10613577790727025,11061.357779072703
2022-06-30,108.44452667236328,1.0,1.0,-0.024516250260615657,-0.024516250260615657,0.0,0.0,-0.024516250260615657,-0.16188117568379812,0.0790174763538749,10790.17476353875
2022-07-01,108.22010803222656,1.0,1.0,-0.0020694326124428564,-0.0020694326124428564,0.0,0.0,-0.0020694326124428564,-0.16361560611194037,0.07678452239891231,10767.845223989123
2022-07-05,112.72406768798828,1.0,1.0,0.041618510068577086,0.041618510068577086,0.0,0.0,0.041618510068577086,-0.12880653379370943,0.12159868988605949,11215.986898860594
2022-07-06,114.02684020996094,-1.0,-1.0,0.011557181608976563,0.011557181608976563,2.0,0.002,0.00955718151398166,-0.1187379926882095,0.1323180121511447,11323.180121511446
2022-07-07,118.21780395507812,1.0,1.0,0.036754186447684134,-0.036754186447684134,2.0,0.002,-0.03875418654267904,-0.08634792456221163,0.08843594868260363,10884.359486826037
2022-07-08,118.7855987548828,1.0,1.0,0.004802955060985825,0.004802955060985825,0.0,0.0,0.004802955060985825,-0.08195969470250752,0.09366365763088758,10936.636576308876
2022-07-11,115.12609100341795,1.0,1.0,-0.030807671888040344,-0.030807671888040344,0.0,0.0,-0.030807671888040344,-0.11024237920810909,0.05997042651072104,10599.70426510721
2022-07-12,113.47797393798828,1.0,1.0,-0.014315756324782547,-0.014315756324782547,0.0,0.0,-0.014315756324782547,-0.12297993249548411,0.044796148173317674,10447.961481733177
2022-07-13,110.82366180419922,-1.0,-1.0,-0.023390549211246503,-0.023390549211246503,2.0,0.002,-0.025390549306241406,-0.14349391354369923,0.018268200058151995,10182.68200058152
2022-07-14,109.84235382080078,1.0,1.0,-0.008854679293418322,0.008854679293418322,2.0,0.002,0.006854679198423419,-0.15107800025213058,0.025248101907506593,10252.481019075067
2022-07-15,111.24564361572266,1.0,1.0,0.012775489108793447,0.012775489108793447,0.0,0.0,0.012775489108793447,-0.14023260649013658,0.03834614786723711,10383.46147867237
2022-07-18,108.51121520996094,1.0,1.0,-0.024580094257059537,-0.024580094257059537,0.0,0.0,-0.024580094257059537,-0.16136577006175545,0.012823501681205718,10128.235016812057
2022-07-19,113.26846313476562,1.0,1.0,0.04384107131783366,0.04384107131783366,0.0,0.0,0.04384107131783366,-0.12459914697745633,0.057226769050789494,10572.267690507895
2022-07-20,113.35804748535156,1.0,1.0,0.0007909028524502038,0.0007909028524502038,0.0,0.0,0.0007909028524502038,-0.12390678994576343,0.058062932718118576,10580.629327181186
2022-07-21,113.7959442138672,1.0,1.0,0.003862952284638066,0.003862952284638066,0.0,0.0,0.003862952284638066,-0.12052248367842855,0.06215017934135281,10621.501793413529
2022-07-22,107.38658905029295,1.0,1.0,-0.056323230215732045,-0.056323230215732045,0.0,0.0,-0.056323230215732045,-0.17005749829976868,0.002326450266628699,10023.264502666287
2022-07-25,106.99844360351562,0.0,0.0,-0.0036144685310336433,-0.0036144685310336433,1.0,0.001,-0.004614468578531095,-0.17305729935473146,-0.0022987536435572498,9977.012463564428
2022-07-26,104.5202865600586,1.0,1.0,-0.023160683090306278,-0.0,1.0,0.001,-0.0010000000474974513,-0.1922098571782186,-0.003296454937301907,9967.035450626981
2022-07-27,112.52204132080078,-1.0,-1.0,0.07655695390907957,0.07655695390907957,2.0,0.002,0.07455695381408467,-0.13036790444600266,0.07101472523827224,10710.147252382721
2022-07-28,113.67652130126952,1.0,1.0,0.01026003409569598,-0.01026003409569598,2.0,0.002,-0.012260034190690883,-0.1214454494949071,0.057884048088117535,10578.840480881176
2022-07-29,115.76652526855467,1.0,1.0,0.018385537693805354,0.018385537693805354,0.0,0.0,0.018385537693805354,-0.10529275169053154,0.077333815129917,10773.33815129917
